"precinct","population.size","voted.democrat","voted.republican","year"
1,2577,1402,1175,2004
2,1252,673,579,2004
3,1425,773,652,2004
4,1241,671,570,2004
5,2764,1521,1243,2004
6,2989,1686,1303,2004
7,334,181,153,2004
8,287,157,130,2004
9,198,117,81,2004
10,904,493,411,2004
11,2341,1270,1071,2004
12,382,215,167,2004
13,1316,716,600,2004
14,841,489,352,2004
15,1323,716,607,2004
16,568,324,244,2004
17,1181,644,537,2004
18,474,258,216,2004
19,130,75,55,2004
20,2232,1216,1016,2004
21,537,287,250,2004
22,2016,1138,878,2004
23,2061,1074,987,2004
24,2779,1548,1231,2004
25,1735,936,799,2004
26,728,420,308,2004
27,127,63,64,2004
28,92,48,44,2004
29,1382,780,602,2004
30,1507,831,676,2004
31,724,423,301,2004
32,20,15,5,2004
33,55,31,24,2004
34,600,320,280,2004
35,1524,817,707,2004
36,847,449,398,2004
37,1131,648,483,2004
38,1168,613,555,2004
39,581,330,251,2004
40,258,158,100,2004
41,540,290,250,2004
42,635,350,285,2004
43,86,41,45,2004
44,3139,1715,1424,2004
45,823,434,389,2004
46,701,376,325,2004
47,2513,1397,1116,2004
48,1005,558,447,2004
49,298,161,137,2004
50,676,390,286,2004
51,515,293,222,2004
52,755,407,348,2004
53,725,395,330,2004
54,1250,679,571,2004
55,239,133,106,2004
56,715,394,321,2004
57,1248,704,544,2004
58,829,459,370,2004
59,1452,767,685,2004
60,235,131,104,2004
61,1672,910,762,2004
62,1989,1113,876,2004
63,960,541,419,2004
64,1041,582,459,2004
65,446,251,195,2004
66,1227,697,530,2004
67,224,118,106,2004
68,474,233,241,2004
69,1251,725,526,2004
70,1233,673,560,2004
71,1069,592,477,2004
72,405,217,188,2004
73,1060,601,459,2004
74,654,374,280,2004
75,1664,927,737,2004
76,1124,607,517,2004
77,634,355,279,2004
78,1238,691,547,2004
79,784,405,379,2004
80,405,222,183,2004
81,1313,704,609,2004
82,61,38,23,2004
83,789,444,345,2004
84,699,384,315,2004
85,397,195,202,2004
86,2977,1642,1335,2004
87,206,114,92,2004
88,507,290,217,2004
89,375,230,145,2004
90,210,130,80,2004
91,792,435,357,2004
92,328,182,146,2004
93,774,439,335,2004
94,528,286,242,2004
95,262,139,123,2004
96,962,548,414,2004
97,2218,1228,990,2004
98,2245,1278,967,2004
99,2107,1195,912,2004
100,432,226,206,2004
101,749,402,347,2004
102,1373,740,633,2004
103,1685,923,762,2004
104,1164,646,518,2004
105,386,222,164,2004
106,1371,765,606,2004
107,248,132,116,2004
108,38,24,14,2004
109,840,470,370,2004
110,750,426,324,2004
111,675,384,291,2004
112,949,532,417,2004
113,488,247,241,2004
114,807,430,377,2004
115,189,106,83,2004
116,690,393,297,2004
117,309,176,133,2004
118,1757,953,804,2004
119,1716,942,774,2004
120,931,514,417,2004
121,1097,602,495,2004
122,273,158,115,2004
123,363,197,166,2004
124,76,45,31,2004
125,513,276,237,2004
126,1346,767,579,2004
127,250,130,120,2004
128,1077,593,484,2004
129,207,107,100,2004
130,1041,594,447,2004
131,2415,1349,1066,2004
132,208,109,99,2004
133,913,506,407,2004
134,4,4,0,2004
135,932,515,417,2004
136,1779,955,824,2004
137,1549,857,692,2004
138,570,331,239,2004
139,592,301,291,2004
140,1174,649,525,2004
141,764,415,349,2004
142,227,128,99,2004
143,709,377,332,2004
144,67,37,30,2004
145,1079,587,492,2004
146,693,381,312,2004
147,754,432,322,2004
148,162,88,74,2004
149,3775,2022,1753,2004
150,1531,802,729,2004
151,2084,1175,909,2004
152,433,259,174,2004
153,393,207,186,2004
154,174,94,80,2004
155,64,29,35,2004
156,221,122,99,2004
157,1460,813,647,2004
158,3068,1732,1336,2004
159,964,547,417,2004
160,1977,1061,916,2004
161,2021,1124,897,2004
162,1003,543,460,2004
163,2078,1166,912,2004
164,2819,1545,1274,2004
165,815,423,392,2004
166,548,282,266,2004
167,2066,1139,927,2004
168,1036,558,478,2004
169,222,115,107,2004
170,2591,1426,1165,2004
171,1935,1083,852,2004
172,2431,1382,1049,2004
173,25,15,10,2004
174,317,161,156,2004
175,754,397,357,2004
176,308,173,135,2004
177,1270,683,587,2004
178,3412,1880,1532,2004
179,1474,811,663,2004
180,1832,1000,832,2004
181,890,487,403,2004
182,1611,875,736,2004
183,670,379,291,2004
184,645,357,288,2004
185,279,159,120,2004
186,765,422,343,2004
187,1169,660,509,2004
188,270,159,111,2004
189,255,137,118,2004
190,297,183,114,2004
191,622,356,266,2004
192,1740,959,781,2004
193,1654,934,720,2004
194,1725,895,830,2004
195,899,486,413,2004
196,397,214,183,2004
197,481,262,219,2004
198,163,100,63,2004
199,201,101,100,2004
200,3547,1935,1612,2004
201,1612,890,722,2004
202,467,258,209,2004
203,467,256,211,2004
204,417,238,179,2004
205,1456,780,676,2004
206,423,239,184,2004
207,1316,707,609,2004
208,519,297,222,2004
209,512,276,236,2004
210,205,114,91,2004
211,1796,969,827,2004
212,162,84,78,2004
213,1467,809,658,2004
214,361,197,164,2004
215,2133,1177,956,2004
216,331,178,153,2004
217,1388,756,632,2004
218,342,198,144,2004
219,764,413,351,2004
220,442,236,206,2004
221,388,220,168,2004
222,483,271,212,2004
223,533,304,229,2004
224,206,118,88,2004
225,666,396,270,2004
226,865,470,395,2004
227,858,479,379,2004
228,547,287,260,2004
229,1486,785,701,2004
230,963,512,451,2004
231,1105,604,501,2004
232,723,389,334,2004
233,901,527,374,2004
234,254,149,105,2004
235,829,461,368,2004
236,1862,1053,809,2004
237,1480,817,663,2004
238,1885,1037,848,2004
239,542,304,238,2004
240,566,297,269,2004
241,313,159,154,2004
242,189,110,79,2004
243,911,490,421,2004
244,1308,662,646,2004
245,1106,600,506,2004
246,732,404,328,2004
247,251,128,123,2004
248,1802,1002,800,2004
249,1431,799,632,2004
250,2129,1171,958,2004
251,596,313,283,2004
252,1124,632,492,2004
253,1084,595,489,2004
254,682,376,306,2004
255,305,161,144,2004
256,1065,578,487,2004
257,1657,909,748,2004
258,592,332,260,2004
259,1412,791,621,2004
260,12,7,5,2004
261,635,361,274,2004
262,821,463,358,2004
263,89,47,42,2004
264,476,272,204,2004
265,814,428,386,2004
266,1208,682,526,2004
267,114,64,50,2004
268,997,527,470,2004
269,1669,946,723,2004
270,817,468,349,2004
271,1295,717,578,2004
272,490,279,211,2004
273,271,145,126,2004
274,652,352,300,2004
275,1756,991,765,2004
276,939,506,433,2004
277,1124,619,505,2004
278,99,59,40,2004
279,548,274,274,2004
280,683,374,309,2004
281,1070,568,502,2004
282,475,257,218,2004
283,1790,955,835,2004
284,3305,1834,1471,2004
285,1481,806,675,2004
286,770,430,340,2004
287,772,429,343,2004
288,827,457,370,2004
289,1695,912,783,2004
290,1159,637,522,2004
291,695,385,310,2004
292,1060,585,475,2004
293,462,266,196,2004
294,725,398,327,2004
295,464,262,202,2004
296,574,331,243,2004
297,54,26,28,2004
298,517,293,224,2004
299,1549,852,697,2004
300,2201,1265,936,2004
301,1320,723,597,2004
302,313,174,139,2004
303,883,479,404,2004
304,538,307,231,2004
305,155,88,67,2004
306,47,30,17,2004
307,2771,1513,1258,2004
308,1090,592,498,2004
309,954,537,417,2004
310,3487,1875,1612,2004
311,1244,663,581,2004
312,621,323,298,2004
313,1744,963,781,2004
314,891,500,391,2004
315,448,256,192,2004
316,195,107,88,2004
317,1537,820,717,2004
318,816,446,370,2004
319,1268,689,579,2004
320,1607,914,693,2004
321,1233,690,543,2004
322,103,60,43,2004
323,3017,1651,1366,2004
324,125,66,59,2004
325,1793,986,807,2004
326,582,316,266,2004
327,258,128,130,2004
328,434,242,192,2004
329,1538,818,720,2004
330,1003,556,447,2004
331,1117,593,524,2004
332,2385,1340,1045,2004
333,125,76,49,2004
334,975,550,425,2004
335,358,187,171,2004
336,1802,971,831,2004
337,2192,1155,1037,2004
338,870,474,396,2004
339,532,302,230,2004
340,524,289,235,2004
341,555,313,242,2004
342,34,18,16,2004
343,493,270,223,2004
344,231,125,106,2004
345,627,360,267,2004
346,564,327,237,2004
347,1327,730,597,2004
348,3422,1872,1550,2004
349,410,238,172,2004
350,895,504,391,2004
351,1064,611,453,2004
352,480,255,225,2004
353,1399,797,602,2004
354,505,288,217,2004
355,1691,905,786,2004
356,988,557,431,2004
357,384,197,187,2004
358,1171,636,535,2004
