"drug1","drug2","score"
"d1.ctrl","d2.ctrl",130.7838799241
"d1.ctrl","d2.ctrl",294.018686317536
"d1.ctrl","d2.ctrl",106.098869189045
"d1.ctrl","d2.ctrl",1206.26103661628
"d1.ctrl","d2.ctrl",340.19118616277
"d1.ctrl","d2.ctrl",107.719606600663
"d1.ctrl","d2.ctrl",398.389054794819
"d1.ctrl","d2.ctrl",512.000041005933
"d1.ctrl","d2.ctrl",435.189405668792
"d1.ctrl","d2.ctrl",180.298103728949
"d1.ctrl","d2.ctrl",1109.62918225371
"d1.ctrl","d2.ctrl",361.348633623483
"d1.ctrl","d2.ctrl",131.467466696068
"d1.ctrl","d2.ctrl",26.7170012264844
"d1.ctrl","d2.ctrl",753.652147066422
"d1.ctrl","d2.ctrl",233.940402087577
"d1.ctrl","d2.ctrl",240.762203017403
"d1.ctrl","d2.ctrl",628.814443431686
"d1.ctrl","d2.ctrl",556.251869902954
"d1.ctrl","d2.ctrl",443.146901520701
"d1.trt","d2.ctrl",1508.66038169941
"d1.trt","d2.ctrl",1315.71602316487
"d1.trt","d2.ctrl",648.437085328289
"d1.trt","d2.ctrl",82.3228164303022
"d1.trt","d2.ctrl",1118.59168380729
"d1.trt","d2.ctrl",568.994780214059
"d1.trt","d2.ctrl",515.019360568836
"d1.trt","d2.ctrl",138.275436980109
"d1.trt","d2.ctrl",373.101292668478
"d1.trt","d2.ctrl",914.101449343199
"d1.trt","d2.ctrl",2341.8103229451
"d1.trt","d2.ctrl",543.055906206425
"d1.trt","d2.ctrl",886.846233474258
"d1.trt","d2.ctrl",570.318490141235
"d1.trt","d2.ctrl",151.857175337075
"d1.trt","d2.ctrl",397.424681922374
"d1.trt","d2.ctrl",405.73897993703
"d1.trt","d2.ctrl",567.185609224374
"d1.trt","d2.ctrl",1808.08828866102
"d1.trt","d2.ctrl",1291.00433468295
"d1.ctrl","d2.trt",110.088638103258
"d1.ctrl","d2.trt",104.374249415675
"d1.ctrl","d2.trt",184.597545422256
"d1.ctrl","d2.trt",169.694187359344
"d1.ctrl","d2.trt",80.3784884079667
"d1.ctrl","d2.trt",79.4798003575473
"d1.ctrl","d2.trt",151.222033491994
"d1.ctrl","d2.trt",192.69714407014
"d1.ctrl","d2.trt",113.589636338396
"d1.ctrl","d2.trt",206.162488268995
"d1.ctrl","d2.trt",154.294563929489
"d1.ctrl","d2.trt",84.1654213460675
"d1.ctrl","d2.trt",149.108140051012
"d1.ctrl","d2.trt",61.7060599434323
"d1.ctrl","d2.trt",287.095301329303
"d1.ctrl","d2.trt",398.712234184052
"d1.ctrl","d2.trt",97.4819384444672
"d1.ctrl","d2.trt",64.9436015122122
"d1.ctrl","d2.trt",171.028768033248
"d1.ctrl","d2.trt",112.052469320632
"d1.trt","d2.trt",365.62848900003
"d1.trt","d2.trt",31.8411665208626
"d1.trt","d2.trt",66.0055851843142
"d1.trt","d2.trt",34.05586140104
"d1.trt","d2.trt",15.7482113086502
"d1.trt","d2.trt",39.9965139679303
"d1.trt","d2.trt",5.44687130365772
"d1.trt","d2.trt",143.388088743903
"d1.trt","d2.trt",38.6000409832287
"d1.trt","d2.trt",290.792998987847
"d1.trt","d2.trt",53.2772562927733
"d1.trt","d2.trt",16.2818919843719
"d1.trt","d2.trt",60.9910025118895
"d1.trt","d2.trt",13.012395046994
"d1.trt","d2.trt",9.45332564555569
"d1.trt","d2.trt",44.3204517595386
"d1.trt","d2.trt",21.2574649783775
"d1.trt","d2.trt",33.1520764152693
"d1.trt","d2.trt",35.6711173724341
"d1.trt","d2.trt",18.3655945680569
