"year","yearnum","abund"
1978,0,21.809578516595
1979,1,63.2639495899937
1980,2,22.8967124415479
1981,3,138.337636096201
1982,4,88.0328497316912
1983,5,43.6044227146893
1984,6,110.512357359282
1985,7,130.660466730815
1986,8,133.089601324407
1987,9,104.154907127964
1988,10,197.717275585288
1989,11,160.198780944015
1990,12,128.965592711669
1991,13,72.9520657966677
1992,14,240.496808108061
1993,15,206.840396065097
1994,16,229.020087478409
1995,17,295.196143730486
1996,18,314.950819454026
1997,19,332.521011696861
1998,20,377.72897918865
1999,21,405.208630745807
2000,22,410.369171185633
2001,23,358.194295313768
2002,24,520.378792445643
2003,25,539.209503890615
2004,26,588.898029084622
2005,27,589.315852299531
2006,28,699.53292805261
2007,29,811.962018794734
2008,30,933.610693263129
2009,31,955.09167705832
2010,32,1073.1340597878
2011,33,1158.83649416816
2012,34,1215.41581303655
2013,35,1376.93142091981
